VIF,variable
178.9080571516608,vec_203
187.44683090776846,vec_204
44.88158500249064,vec_205
127.34630382460024,vec_206
314.7433710259043,vec_207
314.8523456696838,vec_208
611.5980877298656,vec_209
876.5977897518743,vec_210
198.92462883508787,vec_211
144.8368299158243,vec_212
88.11862036226154,vec_213
56.19992477856319,vec_214
63.48425781184735,vec_215
80.75823868490873,vec_216
540.4001773012767,vec_217
53.18627591695634,vec_218
190.20367262086538,vec_219
336.5246313443006,vec_220
100.12174941020153,vec_221
784.1046456956249,vec_222
92.39049270585154,vec_223
111.75103444962087,vec_224
66.24597737572601,vec_225
418.4091761241514,vec_226
63.6804030245266,vec_227
78.18456547994042,vec_228
40.430803439975456,vec_229
77.57697898381501,vec_230
92.00240252055755,vec_231
120.36295185325253,vec_232
